,revenue
2231,3533227
1482,62022014
1006,30000000
2339,7100000
1845,14697005
71,16756372
576,48878502
2212,32204030
1786,94633
1854,18803648
257,9000000
2531,11300653
2483,48911
2446,10400000
1363,10000000
1512,61548707
2829,2033165
2840,1124445
2426,1334173
76,500000
728,16656125
1736,23507567
2234,771499
2086,12036149
703,500000
2378,9789900
2449,36779296
2429,19158074
141,31466789
2479,56702901
2457,587615
2867,1000000
1775,9114264
1645,3692836
2866,457363168
1090,36869414
947,124693
1539,1759252
2758,834332
212,3418141
356,119269486
1111,129795554
166,1723872
1001,42070000
1267,46488
788,2334228
2127,93375151
2078,17185632
2405,3003
607,429766
1389,165615285
1677,24902723
2063,6861102
2255,100
89,140081992
1148,129042871
1951,2628241
2363,58620973
830,161000000
2644,121214377
1787,382267
605,11000000
715,24188922
2107,908847
1896,69823199
2292,50656
2232,23450000
2759,13
133,211780824
1723,167977596
2388,95714875
2734,97552050
1831,9816332
2733,48093211
1085,606694
1280,19204593
2365,794452
2335,263404
164,62771059
670,3100000
2121,161025640
1215,9930095
1531,189712432
363,25762027
1051,17487531
2049,139804348
2796,6775121
2422,6347072
2906,227799884
2069,143000
2237,2691899
1925,311245
599,42930462
1745,78371200
1248,96889998
518,820580447
1110,3021629
2626,55987321
2533,2019009
2205,98410061
75,24922237
1860,566736
1767,8533973
298,9563393
78,35610100
898,16627188
1152,50750000
775,7732325
1192,64256513
1871,215394738
2744,35424826
234,8574339
312,12000000
2475,373552094
96,3358
620,177841558
1633,133949270
2019,69307224
1529,1079726
375,17374595
430,3400278
1208,213954274
982,12118661
743,39340177
558,46152411
986,19738015
1553,22321
292,163442937
2163,185898
1343,20256975
1673,1004558444
663,18112929
1642,333011068
798,66456
2244,85306374
56,1056938
1365,56825
1835,7282851
2622,37641
2290,87055349
854,2411594
523,122700000
1641,1261000
1804,4307000
920,2683519
1536,16002420
2139,105200903
1914,12923936
2373,87100449
1147,1751330
2825,100000000
2966,87840042
2067,46471023
113,51684798
611,1983204
243,17519169
2540,3623330
828,7266209
1685,159330280
724,709827462
2095,10068
1877,41296320
2116,185260553
1318,11715321
193,13168027
771,18130000
2938,403170142
1146,161410
2547,585349010
884,18315000
639,8
242,80768
2319,3566225
2596,840000
1654,1261947
862,26488
2942,117629
41,16217773
2445,32155047
806,18492362
1603,17280326
1593,92374674
1166,8500000
784,12416686
1103,33013805
2844,6614280
131,5206
640,73956241
2602,538000
1460,102000000
824,103951461
702,235483004
685,3788000
2950,114908830
960,83027924
2528,7500000
2393,694438
1487,6321392
1791,15298355
402,8251
1115,185438673
587,312242626
2459,268426634
350,121790373
2217,196781193
2539,188126
270,72417394
225,6585516
2607,25900
1686,9012000
2058,347434178
2826,7412216
2854,5777916
2976,15427192
2123,45742101
931,645135
814,42277365
1576,119723856
1849,18000000
1072,7390108
2769,42333295
1837,35294470
456,6000000
1483,79799880
644,55240
1435,15520023
313,6297
4,3923970
1119,35287788
601,60273173
1404,6804016
1034,38901218
937,37884
2745,637769
2226,8000000
1160,2636637
1936,14051384
577,7800000
418,4601043
1875,68514844
731,56666667
1397,1060056
1508,13130349
1340,68349884
752,21350
1740,26079312
2558,48428063
1342,1113277
104,149521495
1297,1238080
1272,102272727
165,25000
2932,20000000
1118,107879496
2923,16209459
2033,15309302
630,109502303
2328,30353232
2880,205366737
2286,152930623
1144,14947
0,12314651
759,29541790
2193,1461989
2852,6483963
2911,78000586
1741,163169
2850,20300000
2235,1400000
1373,2106557
1628,41158757
2517,132900000
1627,28400000
27,7847000
2608,7060876
1769,7900000
2485,362637473
407,6682098
1669,58510
1440,14481606
2122,166775
1211,871279
246,351583407
2961,125728258
1806,46495
615,1107542
1535,819939
2857,6500000
610,3769990
2031,4000000
1926,195312802
2574,3251794
315,113020255
494,7306
1803,15425
1907,112462508
1780,110000000
2097,655011224
527,41819064
511,194647323
907,128499205
2669,346079773
2294,147542
1922,71000000
1463,7022209
770,25035950
1681,81452156
547,16324573
1054,14899417
2956,11949484
1631,34533783
1959,500000
1520,21134374
863,2642899
419,5000000
1409,108083
1291,27187653
2439,26199517
1815,207515725
999,17808
2873,115860
254,34659
1621,1606624
1834,102780
2987,858591
2161,153083102
1352,11466088
1784,10032765
117,253625427
1459,4159678
2455,549368315
2494,99303
1171,54819301
1453,80551
1357,544476
1321,128905366
2061,161834276
2100,19255873
2264,216614388
1792,8349430
1999,27200316
1892,40105542
1543,36489888
1417,176997168
199,19054534
2196,773228
354,10089373
1380,1600000
1292,11203026
1754,1
1022,44057737
1457,7205
1581,25800
2126,863416141
1797,208588
51,25333333
97,73000
1962,42647449
1167,30658387
778,29252978
2516,12173470
130,9800000
2509,3453043
194,744816
1958,389503
2899,354248063
1497,38610009
2454,44000000
151,16905
1689,457163
2839,250288523
1421,43471
1004,4235151
714,29174648
2060,32483410
1017,29000000
2811,186702
1073,123820
1371,1919197
1537,7000000
2903,18928871
1996,69411370
849,8500000
578,12434778
2655,378667
1025,4187
2417,4000000
2043,29010817
2704,16093651
2493,8679814
891,37962774
1031,11125849
1123,63327201
60,599045960
1361,45100
1200,51723285
2916,10589102
914,4600000
2433,32
705,36764313
1973,2120439
310,8459458
457,340147
1542,29456000
1821,62153
258,2287714
1920,32248241
2312,3117985
387,1345903
2367,27734391
1562,19978961
2991,91038276
2784,34967437
357,788241776
878,3572443
894,100020092
74,2300000
1420,1449945
2172,133000000
2877,51973029
492,66351
2836,3878993
2171,71904
730,1999955
2093,25303038
669,76578911
1164,53898845
1259,418961
803,32056467
1766,1486992
2442,106303988
2871,23367586
435,300859
237,1622164
616,170000
1758,718490
2341,72527595
1345,149295601
2415,23202734
2888,21750000
2371,28460702
325,294456605
925,75143
1367,7000000
1709,56070433
396,32230907
1873,72287783
474,6500000
1874,1
455,4910682
2982,376597
2245,30411183
1396,149044513
1597,66468332
1544,1055287
135,300000
416,69932387
1456,6792000
887,54586584
2876,17380126
1855,24377151
653,99000
261,87528173
1550,609123048
1939,22812411
1492,147780440
805,13551174
1015,21000000
2729,498814908
2770,1405403694
197,77920346
1193,598645
438,50888000
2848,67347013
1749,26144
196,136203
782,332000000
1580,10750000
139,407711549
1984,225990978
1185,810455
157,447784
2225,7800000
2315,5483299
63,14000000
689,850000000
1070,6819587
910,2340
1696,5000000
2192,156844753
1583,28607524
2706,97838349
410,183316455
2295,5255
2686,123182
2809,9771658
1891,125400
786,70067909
168,41833347
635,20158808
643,8026971
1283,350006
2939,120000
2569,7242035
1511,373554033
1995,235666219
2684,4300000
1700,7286388
333,3225000
84,13101672
531,226286
488,108782847
2795,4069090
2229,5099316
1260,3099314
2214,10903846
808,32846
2185,7191399
2281,7985929
1588,23083334
1222,559852396
1411,68572378
240,5790448
1716,5101756
1596,26488734
2566,2899975
2611,84431625
1903,4800080
636,36565280
1785,268431
852,152761
2590,44695
1568,11263966
486,186883563
479,16589540
205,2801508
1957,119946358
2200,280000000
2115,242295562
221,754935
2088,2841000
1807,10785801
1979,21888598
2351,333000000
1062,1404
338,27610873
1778,17508518
69,158468292
1637,4152230
2506,75993061
1493,13818181
1547,182290266
2601,106269971
437,160583018
1578,96188903
2605,221295
993,28744356
2473,150277
548,81705746
2863,8434146
2293,20497844
2314,455815
2219,2357852
320,750000
888,368744044
1229,215283742
2670,22270
1418,26279000
1076,15000
1997,44332015
1413,524668
2989,100202
781,1646788
170,55600000
1190,7
2797,8200000
1937,25196249
682,46405336
2029,35763605
2162,38290723
2492,2861020
1748,666045
2053,258464
2525,30002758
209,108103450
1029,157387195
1064,199436
52,11000000
1653,11341016
264,143597
2648,156974557
1364,19300483
2952,65663276
509,13865435
2908,8009329
2247,31327899
779,55447968
2868,143451
2423,500000
1623,460226
2096,127251
1346,5
708,206172544
797,4631
1130,126737428
717,14683921
1525,2437000
1074,10000000
1759,276572938
1059,191185897
2586,12368234
1437,62985
799,177238796
2147,33395426
282,12902790
1940,24048000
2823,852336
606,228984
2471,14010832
2895,71069884
1624,252712101
2146,181107
2129,13983
1228,16974459
2325,173013509
149,432274
2497,41954997
2603,162000000
2739,631442092
1790,19905359
967,15119639
1113,18469680
1674,77516304
2937,48418160
2940,102000000
59,25482931
760,24793509
127,12008642
2142,4905000
713,10166502
1289,1300000
8,34327391
666,958400000
508,3221152
2623,90024292
861,97542952
2712,18564088
2134,300257475
1225,223003
2687,390659
112,93820758
2763,27053815
1347,169852759
2084,5844868
2777,17300889
893,13000000
532,9697739
1594,40855419
128,46201432
933,174822325
2812,282358
109,34562222
905,92823546
1142,8247943
101,313542341
1770,7025496
392,126463
362,5249225
2167,362000072
594,32648673
1718,1248748
1134,40000
994,65595485
2683,57469467
1078,14347000
2052,385284817
2165,10076790
2487,2948386
1569,239606210
182,21830957
2846,260696994
569,3900000
1812,14393902
2450,1300000
1333,15504
1629,170832
1334,227817248
2180,156822020
2010,8153677
180,31148328
1777,13308
1058,1108462
1772,262797249
332,346592
2651,6800000
1187,44566
2014,392000694
2486,93945766
1960,88545092
1574,6700
380,170877916
1083,52970014
1139,444098
2621,28733290
2513,12000000
1625,73762516
143,382174
1502,81272766
974,33000000
2945,37600000
2546,87000000
1498,240159255
1781,5602431
2149,138259062
2914,29918745
2418,113374103
2041,262921
137,4350774
1097,80000000
617,117270765
2928,6263883
376,100491683
2202,182379278
1159,147332697
716,17953778
1620,127600435
208,4352094
394,72179579
2538,15000000
334,3
2845,28200
468,318982
379,830129
491,63215872
2460,82466670
1813,47301471
681,11000000
768,2262223
698,9077700
2082,2506446
2503,49364621
1383,178127760
2831,19265302
2392,7338987
813,21000000
2453,1914166
1379,17804565
623,137298489
1599,696681
83,40400657
874,146497771
162,3200000
49,120000000
2000,16928137
2630,17986781
2050,22490039
642,288752301
934,171539887
348,3301446
1439,90426405
774,3317662
2369,154937680
1263,4627375
1693,42000000
901,52164
81,11588205
249,14560084
2731,278019771
2376,11100000
2747,2003822
2565,21567853
1575,11582891
1503,989000
661,10016934
2361,12000000
1339,4588176
1881,20240128
2236,8212430
1882,20642922
2090,18000000
807,138730
504,11750000
2164,101134059
1530,47410000
522,28883511
423,29657751
624,84772742
1684,4864560
2716,49601
2862,1268793
215,173965010
374,17000000
580,8033397
2819,3091922
1241,52293982
274,250821495
2280,3696232
1555,19179969
500,741766
1143,10462500
2273,21706101
271,162966177
1725,124914842
802,453079
2518,201596308
1971,10364904
395,900689
692,180622424
1323,3337685
1643,311256926
2754,20381995
1179,24689703
541,7993039
273,83761844
1930,162091208
15,192864
2102,157100845
2749,1803009
2610,11083449
2249,30226144
454,3790493
1168,32788
811,1400000
1540,4719695
12,356296601
820,9221
94,20117339
1570,93600000
647,2500000
609,273644
953,73244881
1,95149435
1238,30553394
2435,3956913
1236,80154140
1879,251171807
1387,205703818
231,1001437
1231,109449237
2962,57330873
792,73180723
251,10017322
1199,416498
2111,361832400
1479,125
810,363889678
1441,3775000
1732,47000000
1839,138913
2752,3221568
2673,300653
1235,7644937
178,125212904
368,3351735
2206,18253415
528,60000000
73,17393
625,146900000
201,3916303
1776,570000
2915,351692268
2276,37473
314,350170057
1046,1519796
467,13620075
2561,17000000
449,5989640
1273,16929123
2780,64350171
316,118338361
2748,189015611
1720,85313124
590,9016377
2529,3052000
1889,13204291
1030,21107746
622,4073489
353,10229331
470,1672730
2577,97
417,373530
2431,320170008
2304,390493908
684,1262886337
2456,6856989
2092,168180
985,58840
2386,21700000
2860,77737889
1490,5000000
393,129832389
2358,370668
1304,921974
2357,662845518
2306,41162041
1480,5000000
2461,240093
2794,43528634
976,39459427
1690,5240
2342,5330000
754,10409377
2710,3100000
2573,8690429
2451,523511
2920,4275
2775,539896
1330,8100000
1773,1133031
638,1400000
1388,31894
2208,6698361
1826,24078196
2027,2640850
1946,4069826
1101,119919
2384,671
1173,28281
1650,63463
973,78874843
489,609524
2664,55707411
2865,8927600
1428,78309131
1652,4710749
1703,3867000
1680,900000
1043,331000
48,653951
1752,16671505
2576,187716
259,140021
1027,6472990
1194,1675484
2350,38505009
1287,2594000
844,1012189
701,98450062
302,2945242
1308,3646994
2385,25893810
2055,57096190
2195,346297
2677,19516000
969,274470394
2438,40084041
1112,60845711
2559,38862717
1424,7840873
1658,83398
1584,20455276
2767,136150434
2891,28128670
54,46069568
159,18552460
150,18
158,19412993
1814,4635143
2330,81381
2721,123509
399,7820688
744,78868508
2804,2040920
2166,60209334
2715,68696770
850,48027970
1694,1013926
978,66976317
1721,54744738
2210,29326868
2458,3295624
1948,204
55,36448200
1561,19595031
1904,49998613
1783,616801808
105,16505460
2120,60000000
497,44065653
2213,67872296
260,187349
436,70918
1848,72070731
181,20957001
326,116400000
2318,33208099
471,459270619
2498,2294357
1454,31670620
2057,239894
72,8266343
2988,105656
1928,117719158
2588,3897569
2109,502758
2416,6341684
2474,79
840,2978994
1666,5887457
2221,4040588
167,144216468
2269,287553595
2817,6575282
1442,443684
2645,76000000
2965,441809770
17,1234254
2771,18564613
1933,173000000
2951,18704595
603,53478166
2420,4100000
1108,114178613
2652,11000000
1302,3484331
39,14873
1434,23859
2810,8034
2349,441306145
2184,18000000
340,1289998
138,3065860
641,97437106
923,191125
2362,35022
679,8750000
1961,35456
2773,116672912
428,1258000
1161,121
2124,77068246
9,18750246
447,254134910
2743,55495563
2874,25
2220,8220215
2505,8910819
1188,34664
841,11449638
1761,1506249360
503,13071518
475,1612100
1028,1778391
1994,47267001
1634,200182160
560,16136
2741,2725258
2833,60328000
2919,13000000
2262,19701164
2098,182857
355,393970
2020,5741608
2931,36754634
2199,33889159
1887,573335
2632,33463969
767,121463226
864,634074
116,311
2896,645186
1968,208076205
618,27092880
30,426480871
22,100345
2711,51000000
1313,49100000
2278,7103973
2948,25182929
935,4215859
1757,639000
283,23550000
2136,11567217
927,197687603
250,42700000
1157,7339398
1505,16374328
483,187674
2650,8900000
1880,459359555
1567,22179430
2151,13670688
216,83061158
2606,176885658
365,424760
1227,2200000
1604,7175592
1701,7424
2909,48902953
335,38307627
2720,35150960
1738,46434570
2875,32000
123,91036760
285,1614266
992,3202000
2359,6029824
1989,5900000
815,60740827
833,65497208
2282,40940662
1975,393816
2562,1028570889
1462,6491240
2307,1246141
1993,4571025
58,119563
2884,331816
1671,24769466
349,3515061
1921,86362372
579,88
294,653428261
790,72266306
545,7000000
68,13129846
67,154120
450,12000000
873,10382407
391,9868942
2593,2438031
1846,530048
2034,152036382
628,6174491
756,194720
1007,60
945,43650785
281,66486080
1341,196114570
626,5632086
86,106260000
2821,21722776
2404,154026136
2700,27409889
2316,43455230
939,2227000
344,50549107
614,28900000
2519,1500000
1232,473993
2719,94061311
2345,13022756
1565,133346506
1602,3206713
420,151119219
1913,1548955
584,1083282
922,35348597
46,660940780
1234,186438883
300,48572000
186,3833507
432,109130
2267,90508336
2799,134748021
2967,7600000
1294,21049053
938,1938
278,23020
2818,9317021
2647,694713380
857,383257136
1378,6754898
2808,70136369
1789,11403529
195,115605
633,330579719
2861,102825796
843,27187375
1180,100659
2081,49797148
889,13102295
43,1020921
2108,161451538
2491,10474
1284,21665468
1929,1749201
860,14782676
361,9700000
1560,760883
1819,314195
757,163733697
2390,10000000
284,48126384
1033,29235353
80,9237470
2699,192816
2753,22921898
1476,11293663
2484,30399676
2203,1896244
2148,22707064
390,10703234
26,13835130
2953,19125401
2311,63833449
911,1492523
1438,2459895
2113,25000000
446,875386
1573,973525
1135,36800000
372,91753202
45,4300000
2522,5923044
1886,133432856
1847,209935
2927,431971116
2595,75781642
1864,25000000
2978,1053788
1563,30471
2436,3376375
2308,1277401
2337,8362969
1698,120081841
570,82719885
660,132511035
574,211952420
687,1382462
2666,54674226
452,1009620
152,241
2933,74608570
1484,76586316
1727,10848783
1651,21890845
2694,76657000
44,47175038
1898,6488144
2659,25754284
2046,5363000
1468,5000000
2391,141195658
129,5731103
422,296557
2045,114660784
819,2402459
2257,49084830
2970,411006740
230,72178895
1133,11540607
2642,98159963
322,532950503
2265,500000
646,94000000
2191,48190704
1384,132675402
794,93617009
1158,174578751
1626,540152
2560,12065892
1201,71009334
2106,1103757
1400,346864462
2071,15704614
1577,16000000
2227,363164265
729,500188435
2382,18124262
1551,1553826
233,206728
37,189859560
1151,709709780
2682,4000000
1104,3342697
2806,86369815
902,786636033
213,31000000
2131,129000000
2181,43579163
968,163403799
1107,8352885
1475,37170057
2585,1406224
1863,3338228
1198,85
962,141407024
429,109676311
1309,369330363
990,13885802
359,93525586
2536,14200000
2600,23598
299,26055
1080,80936232
2452,95404397
324,5669831
2016,28341469
2441,14418922
1589,3384747
1478,4634062
871,48720000
1474,62548947
386,12000
1731,4900000
1065,311312624
2709,165333180
1381,25000000
2137,1037335
546,105834556
2178,60427839
2772,3324330
842,369975
2500,19829957
265,13060843
2672,30536013
2674,2295423
517,123726688
1324,235432
1489,401421
1514,52882018
2614,72700000
2419,141047179
1678,770706
1906,200406
1376,923
184,237681299
2568,14056528
2073,49111202
936,14000000
2620,100000000
2789,56574
2936,9392
2168,2500431
1282,6000000
1254,404
1281,46000000
1598,373062864
1067,51079064
2898,178051587
1840,117831631
1169,87404651
867,135893
783,22697691
1256,44350926
2851,12303411
1919,2043704
1966,11650
2631,130482868
583,25836616
595,214000
1053,928391
1841,6405245
879,48065672
2054,4000000
965,36400360
1329,1942423
2468,14048372
411,148336445
837,378858340
1311,28350000
534,46474
1052,10541523
426,18197398
1332,836297228
1402,11472454
318,27793200
473,23000
1622,43719
2944,89460381
2947,263635
229,2474000
2051,1494399
2925,142817992
853,36611610
100,9229401
949,8475466
2781,13674
2790,145896422
1897,54600000
2059,8555008
2680,966878
1331,1347747
2878,18999718
1827,33053559
2761,48298
61,14400000
2430,10000000
2983,791830
675,11411644
526,17425000
2702,34742066
1843,5405313
2466,26250020
530,36000000
347,1
1303,9600000
1412,108286421
540,128388320
1089,28641776
2977,29700000
2348,5262047
2776,7563728
1712,8342132
2800,91354215
29,94935764
2368,7865
91,215339
2548,39768000
1117,141069860
740,2692037
377,5080409
1608,159773545
306,100086793
816,41205099
2248,102984862
1521,243843127
657,13000000
2002,59217789
1564,35485608
977,12935800
524,8500000
1382,867714
1556,560069
2499,160638883
943,28023563
2133,11087569
1895,3000000
35,40346186
2437,325756637
1137,15400000
1100,3370574
1098,112343513
1471,102308889
1611,103891409
1571,84601681
2087,44030246
1985,105097
2668,148868835
118,1796389
65,11806119
1370,50007546
1408,23978402
1931,50892160
2258,113493481
912,2054941
2397,309492681
1458,3031801
2993,219417255
758,24134
1019,6272403
2370,301000000
1295,87987055
1042,347451894
726,4129250
568,17768012
2883,68369434
1467,57120318
1744,83719388
2708,6834525
1246,40272135
1233,21032267
2006,11348324
1795,2000000
817,22000000
2495,3200000
70,21126225
2628,1185783
2197,6800000
188,521311860
121,448000000
190,16675000
1014,957240
1274,8613462
2354,31179516
1266,68411275
1619,80049764
764,8800000
1011,41410568
2223,103166989
2411,223664608
448,315156409
1963,103173635
125,7400000
930,58795814
2640,25434291
400,58405313
676,60700000
2981,93000
2251,8
1336,8022000
1910,372234864
1220,20566327
1533,5979011
502,316472
1012,115350426
2973,4122748
2822,41637263
1517,14000000
2072,1822250
1495,2154540
1102,14859394
247,92180910
1661,35856053
1172,2681345
1582,12000000
2259,1829917
2889,39946780
1163,2119994
736,30000000
2467,41382841
2383,3
2994,14715067
831,3148182
2501,8887603
561,1600000
2152,20342161
1965,7936012
92,15000000
2858,461983149
1298,5624282
2408,4409328
1317,499168
2589,68915888
659,8135031
487,3468423
1271,14904
1344,10082
1209,83557872
723,1044824
1918,15240456
608,31576
1429,102000000
1764,27200000
2068,4100000
1353,102820008
2756,41597830
709,10400000
2901,152368585
1129,2850263
1403,44352417
2921,2608000
1306,64437847
1893,6000000
458,88923251
2727,171760
1829,19776159
173,2807854
2572,278300000
2240,572809
1980,4417580
2646,7778177
800,58978653
1657,49002684
1385,970816
529,38159905
1477,226497209
944,11301649
1092,3082901
2999,82087155
1617,3537961
1243,716392705
1114,12355798
382,2000000
1360,1000000
2549,1524966
2008,121129
2157,52287414
2007,2610000
2570,305875730
2657,27500000
95,14353
1356,25000
220,10652498
2556,148426
677,777423
1226,10126458
1446,8674093
665,10
2470,15014674
913,50068310
1842,27900000
2722,603943
19,85167639
1177,96105964
656,20079850
795,20560255
1851,38574362
711,4385312
2372,129540499
1044,38135878
2252,108047131
762,70000000
2297,297138014
2703,10571408
2469,78382433
2510,532269
2284,68000000
664,70
525,25345000
2028,23000000
136,120680
2287,1500000
2941,6916869
655,22200000
1216,13418091
727,219076518
629,12413650
346,87416021
674,76932943
203,527068851
959,65088797
1982,190458706
2125,164508066
1702,64227
948,300400432
738,37279439
2425,28061343
405,125586134
958,142851197
2094,2802459
2835,21409028
2141,84025816
2545,50548152
963,807535
885,49579269
1081,120207127
1087,72778712
1069,5596708
1197,846704
2689,71485043
235,27297451
2243,110879513
485,15478800
989,1675706
1393,151165787
364,60289912
2855,48482
2128,8373585
632,30102717
2412,44806783
142,615816
1534,140987
1799,66995253
36,151559
1519,82703
1055,525
2389,20000000
88,13162475
2083,3848034
1942,10018
983,61489265
1607,240978
1262,2970
2424,73648228
1722,51070807
16,57891803
287,6841570
1242,38793283
1747,18663238
1612,154864401
2156,75715436
5,3261638
563,36606743
2656,180274123
308,21800302
1066,9584131
544,20000000
1636,1697294
2283,3903479
1121,31584901
739,158733820
1917,1
1325,3983997
823,1250000
1447,3000000
904,202026112
1450,87784194
2291,1686429
466,270000000
951,20080020
1656,62000000
286,276921998
1739,122417389
900,16863583
1131,1390172
2174,37598
1832,36144000
672,3485127
1765,14631377
2228,56298474
1174,4706919
2332,111996
2618,327803731
1932,51854875
224,500
465,18782400
612,8203235
1949,6700000
1018,47042000
2604,14166853
604,26414658
1794,10654385
337,9833553
1836,73174566
481,9400000
1223,80547866
1894,849915
1436,1100000
1047,76286096
2905,589304
2907,49042224
2401,37000000
2859,25034000
720,4469460
187,921000
490,1725381
2377,92991835
2398,20275812
1705,7218340
1990,17768757
2701,6892098
2144,551281
1466,224803475
1305,25739015
369,64110728
2609,3919254
2407,1884814
1518,269823
223,352927224
2013,100544
253,30292
1175,6149791
1178,11000000
388,2128186
2496,605562
2713,57059003
1093,245066411
2039,10113733
85,152022101
1541,3
329,384335608
451,1787926
2338,100853753
493,37803872
2788,1337274
1710,42724017
1214,215576
154,5091888
134,33000000
586,4400000
2766,152500343
2246,4417667
2832,123384128
2616,57915972
1733,34100000
1630,604942143
2992,1213880
1184,307166834
2075,74918
2960,1163967
575,20710451
1156,1750211
2705,5410749
2791,4630045
185,161001698
1614,40846082
673,38376497
2478,68729358
2678,1081957
445,343786
2309,26589000
303,22886222
2555,3020784
829,11276
2615,11798616
2974,10442808
924,850259
2201,6147
825,15992615
1394,209154322
1136,50673078
66,204940
567,36893721
543,926287400
1203,127666415
876,42160849
2296,188133322
916,28451622
1977,9069
2301,1110566
981,1744858
2760,13380561
1934,59468275
1872,10006806
1170,11129057
2512,50671850
1013,22750363
2730,116700000
712,120455994
1838,586090727
2340,29359216
2578,2200000
358,14567883
2447,231411584
650,135000000
1399,62788218
2321,4905000
1036,364937
2279,31609243
582,4001121
1240,126
401,6000000
217,85300000
2520,90614445
2968,2405420
1349,15395087
1699,117760134
2902,21833
1068,9518342
1125,105178561
1288,8844595
1857,1805884
566,7900000
956,1301696
1664,90383208
1613,38955598
2465,6928068
1056,107559
2040,9234510
2360,939101
297,56489558
1218,3218666
2472,331926147
796,33579813
1050,29762011
2375,95673607
1473,255273813
2707,17292381
204,10000000
2649,2620000
2428,34585416
1587,15556340
1972,415440673
232,2225098
1032,40266982
2364,160602194
780,3305592
950,8251071
1285,41482207
2698,2387127
2333,111584787
31,36000000
202,110000000
1538,209696
2805,2275557
252,5001655
565,81010
1672,66821036
2091,22044277
2346,50100000
403,1469
1481,43493123
1796,95000000
1527,2260622
1245,2736000
995,1530216
268,23937870
1557,142400065
2869,54837234
975,39300000
1509,3214116
533,126248813
1358,101300000
535,9323833
1719,2804874
918,5100000
1375,41627431
2887,36642838
2746,49627779
1800,135
331,5837674
1299,37285
2827,10224116
2762,22540359
1445,25312387
18,1749457
658,754249
2266,374111707
2583,9109322
1414,65754228
1824,4750000
1195,94882889
2910,2279000
1082,985007
176,14828081
373,10609321
1746,4000000
832,374218673
433,147845033
2274,205754447
2410,18599102
1206,5151936
765,133718711
42,24362772
2737,880674609
2676,5300000
926,96618699
1711,9318
1868,630161890
2841,153518974
1856,400062763
1662,36000000
1927,62000000
2042,300228084
855,887029
1368,9000000
1682,13276953
114,871368364
1049,218340595
836,21520719
23,17011
484,3335984
179,156167015
2900,486937
2882,6659377
1296,33000337
2271,3764219
328,20529194
2726,38058335
1016,114830111
2613,8888143
2714,216166
1204,35114428
2145,22433275
385,229736344
1728,3665069
2834,266728738
1099,40590000
2530,86658558
2289,71368
1391,5475058
940,18948425
2815,86175291
2048,6455530
371,4100000
1774,74558115
2421,11576431
858,558000
1667,596349
2175,17336370
1048,26888376
